row_num,encoder_value,distance_value
517,24,508
518,27,609
519,32,3000
520,35,3000
521,38,3000
522,40,3000
523,42,3000
524,46,3000
525,48,3000
526,52,602
527,2,938
528,5,825
529,9,754
530,12,726
531,15,717
532,18,704
533,21,715
534,24,698
535,27,697
536,30,688
537,33,690
538,36,692
539,39,683
540,42,664
541,45,643
542,48,628
543,52,624
544,2,3000
545,7,891
546,10,1330
547,14,3000
548,21,877
549,27,854
550,30,907
551,33,891
552,36,821
553,39,822
554,42,771
555,45,761
556,48,753
557,51,884
558,2,1066
559,6,1012
560,9,974
561,12,891
562,15,834
563,18,808
564,21,787
565,24,757
566,27,729
567,30,689
568,33,634
569,36,597
570,39,565
571,42,535
572,45,508
573,48,477
574,52,443
575,2,147
576,2,339
577,5,330
578,8,335
579,12,383
580,15,562
581,18,634
582,21,629
583,24,624
584,27,591
585,30,600
586,33,620
587,36,622
588,39,623
589,42,609
590,45,587
591,50,3000
592,2,3000
593,7,523
594,10,570
595,14,483
596,17,3000
597,22,424
598,24,3000
599,28,3000
600,31,3000
601,33,3000
602,35,3000
603,37,3000
604,39,3000
605,41,3000
606,44,3000
607,46,3000
608,48,3000
609,50,3000
610,2,608
611,5,578
612,8,560
613,11,528
614,15,503
615,18,470
616,21,437
617,24,398
618,27,370
619,30,329
620,33,282
621,36,222
622,2,751
623,6,758
624,9,760
625,12,706
626,15,708
627,18,652
628,22,708
629,25,699
630,29,593
631,32,569
632,35,471
633,38,303
634,41,243
635,2,122
636,2,44
637,2,40
638,2,39
